symbol,security_id,ltp,quantity,capital_used,avg_volume,avg_range,potential_profit,sma_20,rsi,stock_origin,priority_score,sector
DMART,19913,4275.0,1,4275.0,11495,8.85,8.85,4256.53,65.68,smallcap_scan,101705.17,UNKNOWN
RELIANCE,2885,1411.5,3,4234.5,13009,1.02,3.07,1411.04,51.63,smallcap_scan,13306.77,UNKNOWN
