symbol,security_id,ltp,avg_volume,atr,qty
ADANIPOWER,17388,555.35,3346534,8.99,5
ORIENTHOT,2493,161.05,310028,2.36,19
HINDOILEXP,1403,169.45,882635,2.49,18
HEXT,29666,814.95,2079740,14.87,3
QUESS,17704,314.4,265211,4.46,10
THOMASCOOK,3481,174.49,1721698,2.44,18
FUSION,11932,171.9,1066132,2.43,18
AWHCL,1797,614.5,226781,8.73,5
EMIL,11530,124.5,2747566,1.74,25
GEPIL,7862,287.85,1090668,3.94,11
ACMESOLAR,27061,258.1,1434591,3.61,12
GOLDIAM,11971,369.25,441583,5.41,8
VARROC,3857,553.0,506430,8.65,5
AVANTIFEED,7936,826.55,1257539,14.37,3
IGIL,28378,382.35,1560883,5.38,8
GODIGIT,23799,330.85,1770376,4.78,9
WELSPUNLIV,11253,132.0,4664611,1.87,23
PRESTIGE,20302,1539.9,1414678,21.46,2
SWSOLAR,12489,305.7,3183638,4.28,10
SUPRIYA,7390,715.0,392924,10.69,4
KNRCON,15283,208.02,1736032,2.84,15
MOTHERSON,4204,150.79,23277195,2.13,20
GPTHEALTH,22846,151.79,215741,2.13,20
GUJTHEM,29731,308.85,220291,4.26,10
IGL,11262,207.3,4993080,2.83,15
KEC,13260,864.85,3825298,14.13,3
YATHARTH,17738,511.0,218001,7.02,6
OBSCP,25923,238.45,269280,3.23,13
DCAL,21704,270.2,427131,3.81,11
WELCORP,11821,932.95,5840957,13.97,3
GODREJCP,10099,1265.3,1293533,20.86,2
SCHNEIDER,31234,760.95,1540868,10.39,4
SAKSOFT,11794,201.18,837729,2.76,15
SBFC,18026,114.25,4866468,1.53,27
KPEL,27079,551.65,1030395,8.26,5
QUICKHEAL,13116,297.5,524518,4.12,10
IXIGO,24067,180.0,3027526,2.42,17
BIKAJI,11966,765.3,310706,10.28,4
ECOSMOBLTY,25060,282.95,262417,3.73,11
PRINCEPIPE,16045,330.7,840154,4.54,9
HONASA,19813,314.25,666525,4.08,10
GENESYS,10905,725.9,227533,10.13,4
SPANDANA,11435,271.0,349028,3.68,11
SENCO,17271,377.7,933815,5.05,8
WEBELSOLAR,14602,1406.0,282478,20.2,2
AJAXENGG,29624,642.0,256226,10.07,4
TDPOWERSYS,25178,504.25,1794245,6.71,6
SWANENERGY,27095,415.35,1654639,5.73,7
PREMEXPLN,17397,570.0,1299044,7.99,5
WALCHANNAG,3736,230.2,1019284,3.07,13
RGL,15129,128.35,354366,1.66,24
KALAMANDIR,18755,132.5,1166089,1.73,23
UDS,19113,318.95,225958,4.41,9
VIPIND,3703,360.8,344659,4.96,8
MRPL,2283,143.82,5880792,1.79,22
MAHSEAMLES,2088,700.95,389706,9.84,4
EMSLIMITED,18593,580.7,578571,7.85,5
SAILIFE,27839,721.4,936563,9.79,4
HCG,15555,548.8,365291,7.82,5
TFCILTD,3466,227.0,1504711,3.0,13
ICICIPRULI,18652,429.0,1250272,5.57,7
TTKPRESTIG,3546,614.5,340100,7.79,5
QUADFUTURE,29087,448.4,202518,5.56,7
