symbol,avg_volume
RELIANCE,7927057
TCS,1502270
INFY,4976298
HDFCBANK,7728246
ICICIBANK,6624579
LT,1439051
SBIN,7186610
AXISBANK,3913556
ITC,12381754
KOTAKBANK,2441611
BHARTIARTL,6284321
HINDUNILVR,1414883
BAJFINANCE,597707
ASIANPAINT,753132
MARUTI,263634
ULTRACEMCO,163958
NTPC,8223986
POWERGRID,16154901
ONGC,10508212
SUNPHARMA,3598485
