symbol,direction,entry_path,orb_high,orb_low,orb_break_time,fvg_prev_time,fvg_mid_time,fvg_last_time,fvg_zone_low,fvg_zone_high,tap_back_time,engulf_entry_time,entry_price,stop_price,target_3R,tp_hit_time,sl_hit_time,bar_conflict_tp_sl,max_R_reached,vwap_at_entry,vwap_filter_passed
ASHOKLEY,SHORT,STANDARD,119.23,118.68,2025-08-08 15:10:00,2025-08-08 15:09:00,2025-08-08 15:10:00,2025-08-08 15:11:00,115.3,115.32,,2025-08-08 15:11:00,115.21,115.3,114.94,,2025-08-08 15:20:00,NO,1.222,116.63,YES
IOC,LONG,BOUNCE,140.43,139.68,2025-08-08 11:16:00,2025-08-08 11:15:00,2025-08-08 11:16:00,2025-08-08 11:17:00,141.39,141.45,2025-08-08 11:18:00,2025-08-08 11:18:00,141.54,141.43,141.87,2025-08-08 11:21:00,,NO,3.0,141.027,YES
NIFTYBEES,SHORT,BOUNCE,277.35,277.0,2025-08-08 11:58:00,2025-08-08 11:57:00,2025-08-08 11:58:00,2025-08-08 11:59:00,275.9,275.95,2025-08-08 12:00:00,2025-08-08 12:01:00,275.75,275.92,275.24,,2025-08-08 12:24:00,NO,1.412,276.276,YES
POWERGRID,SHORT,BOUNCE,285.9,284.7,2025-08-08 10:29:00,2025-08-08 10:28:00,2025-08-08 10:29:00,2025-08-08 10:30:00,284.6,284.65,2025-08-08 10:31:00,2025-08-08 10:31:00,284.4,284.65,283.65,,2025-08-08 10:42:00,NO,1.0,285.077,YES
TATAPOWER,SHORT,BOUNCE,386.95,384.6,2025-08-08 11:58:00,2025-08-08 11:57:00,2025-08-08 11:58:00,2025-08-08 11:59:00,382.25,382.35,2025-08-08 12:00:00,2025-08-08 12:02:00,381.9,382.25,380.85,,2025-08-08 12:06:00,NO,0.286,383.9,YES
TATASTEEL,SHORT,BOUNCE,159.93,159.46,2025-08-08 10:12:00,2025-08-08 10:11:00,2025-08-08 10:12:00,2025-08-08 10:13:00,158.6,158.62,2025-08-08 10:14:00,2025-08-08 10:14:00,158.46,158.65,157.89,,2025-08-08 10:16:00,NO,0.316,159.123,YES
