SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,9480,EQUITY,0,LICI,1,LIC of India,,,,5,NA,ES,EQ,LIFE INSURA CORP OF INDIA
NSE,E,9539,EQUITY,0,SAKAR,1,Sakar Healthcare,,,,5,NA,ES,EQ,SAKAR HEALTHCARE LIMITED
NSE,E,955,EQUITY,0,ESABINDIA,1,ESAB India,,,,10,NA,ES,EQ,ESAB INDIA LTD
NSE,E,9552,EQUITY,0,RVNL,1,Rail Vikas Nigam,,,,5,NA,ES,EQ,RAIL VIKAS NIGAM LIMITED
NSE,E,9553,EQUITY,0,PRUDENT,1,Prudent Corporate Advisors,,,,10,NA,ES,EQ,PRUDENT CORP ADV SER LTD
NSE,E,9576,EQUITY,0,MAHESHWARI,1,Maheshwari Logistics,,,,1,NA,ES,EQ,MAHESHWARI LOGISTICS LTD.
NSE,E,958,EQUITY,0,ESCORTS,1,Escorts Kubota,,,,10,NA,ES,EQ,ESCORTS KUBOTA LIMITED
NSE,E,9581,EQUITY,0,METROPOLIS,1,Metropolis Healthcare,,,,10,NA,ES,EQ,METROPOLIS HEALTHCARE LTD
NSE,E,9590,EQUITY,0,POLYCAB,1,Polycab,,,,50,NA,ES,EQ,POLYCAB INDIA LIMITED
NSE,E,9592,EQUITY,0,VENUSPIPES,1,Venus Pipes & Tubes,,,,10,NA,ES,EQ,VENUS PIPES & TUBES LTD
NSE,E,9599,EQUITY,0,DELHIVERY,1,Delhivery,,,,5,NA,ES,EQ,DELHIVERY LIMITED
NSE,E,9617,EQUITY,0,SPLPETRO,1,Supreme Petrochemicals,,,,5,NA,ES,EQ,SUPREME PETROCHEM LIMITED
NSE,E,9641,EQUITY,0,KHANDSE,1,Khandwala Securities,,,,1,NA,ES,EQ,KHANDWALA SECURITIES LTD
NSE,E,9652,EQUITY,0,RELCHEMQ,1,Reliance Chemotex,,,,1,NA,ES,EQ,RELIANCE CHEMOTEX IND LTD
NSE,E,9667,EQUITY,0,MEDICO,1,Medico Remedies,,,,1,NA,ES,EQ,MEDICO REMEDIES LIMITED
NSE,E,9668,EQUITY,0,HIKAL,1,Hikal,,,,5,NA,ES,EQ,HIKAL LIMITED
NSE,E,967,EQUITY,0,SUBEXLTD,1,Subex,,,,1,NA,ES,EQ,SUBEX LTD
NSE,E,9678,EQUITY,0,SOUTHWEST,1,South West Pinnacle,,,,1,NA,ES,EQ,SOUTH WEST PINNACLE LTD
NSE,E,9683,EQUITY,0,KPITTECH,1,KPIT Technologies,,,,10,NA,ES,EQ,KPIT TECHNOLOGIES LIMITED
NSE,E,9685,EQUITY,0,TRIDENT,1,Trident,,,,1,NA,ES,EQ,TRIDENT LIMITED
NSE,E,9741,EQUITY,0,PARADEEP,1,Paradeep Phosphates,,,,1,NA,ES,EQ,PARADEEP PHOSPHATES LTD
NSE,E,9750,EQUITY,0,ETHOSLTD,1,Ethos,,,,10,NA,ES,EQ,ETHOS LIMITED
NSE,E,9756,EQUITY,0,EMUDHRA,1,eMudhra,,,,5,NA,ES,EQ,EMUDHRA LIMITED
NSE,E,981,EQUITY,0,EPL,1,EPL,,,,1,NA,ES,EQ,EPL LIMITED
